id,class,term,week,module,type,title,summary,topics,file_format,url,source,print_ready,onenote_path,definitions,success_criteria,tasks,key_concepts,current,locked
y910-t1-w1-outline-01,Year 9/10,1,1,3D Printing and Design,Lesson Outline,Week 1 - 3D Printing Foundations,3D printing workflow Tinkercad interface STL files slicing software FDM printing and safety.,"3D printing, Tinkercad, STL, FDM, slicing, workflow, safety",html,,Drive,false,,3D printing: Creating physical objects layer by layer|FDM: Fused Deposition Modelling - melting filament to build layers|STL file: Standard file format for 3D printing|Slicing: Converting STL to printer instructions (G-code)|Infill: The internal structure percentage of a print|Layer height: Thickness of each printed layer|PLA: A common biodegradable plastic filament|Workplane: The flat surface you build on in Tinkercad,I can explain the 3D printing workflow|I can navigate the Tinkercad interface|I can explain what slicing software does,Task 1: Tinkercad orientation activity|Task 2: Design a simple shape and export STL|Task 3: Identify parts of a 3D printer,"3D printing, Tinkercad, STL, workflow",false,false
y910-t1-w2-outline-01,Year 9/10,1,2,3D Printing and Design,Lesson Outline,Week 2 - Measurements and Tolerance,Reading calipers design constraints tolerance values and printing calibration test pieces.,"calipers, tolerance, constraints, measurement, calibration, iteration",html,,Drive,false,,Calipers: Precision measuring tool accurate to 0.1mm|Tolerance: Intentional gap between parts so they fit together|Design constraint: A limit your design must work within|Iteration: Repeating the design process to improve|Calibration: Adjusting settings to get accurate results|Test print: Small print to check fit before full print|0.2mm: Typical tolerance for FDM printed parts,I can read a digital caliper accurately|I can explain why tolerance matters in 3D printing|I can design with a specific tolerance in mind,Task 1: Measure objects with calipers|Task 2: Design a test piece with tolerance|Task 3: Print and test fit,"calipers, tolerance, measurement, design",false,false
y910-t1-w3-outline-01,Year 9/10,1,3,3D Printing and Design,Lesson Outline,Week 3 - Tinkercad Codeblocks,Parametric design using visual block coding - loops variables and conditions to generate geometry.,"Codeblocks, parametric, loops, variables, conditions, procedural",html,,Drive,false,,Codeblocks: Visual coding environment inside Tinkercad|Parametric design: Design driven by variables that can be changed|Loop: Repeating an action a set number of times|Variable: A named value you can change|Condition: A rule that controls what happens|Procedural: Step-by-step instructions to generate a result,I can use loops to repeat shapes in Codeblocks|I can use variables to control dimensions|I can explain what parametric design means,Task 1: Generate a grid of holes using loops|Task 2: Use variables to scale a design|Task 3: Create a parametric bracket,"Codeblocks, parametric, loops, variables",false,false
y910-t1-w4-outline-01,Year 9/10,1,4,3D Printing and Design,Lesson Outline,Week 4 - First Prints and Design Sprint,Print queue rules Benchy test print mini design sprint and documentation.,"design sprint, print queue, Benchy, documentation, iteration",html,,Drive,false,,Design sprint: A fast structured design process|Empathise: Understanding the user's needs|Define: Stating the problem clearly|Ideate: Generating multiple ideas|Prototype: Building a quick version to test|Test: Checking if your solution works|Benchy: A standard test print for calibrating printers,I can follow the design sprint process|I can document my design decisions|I can evaluate a test print,Task 1: Benchy calibration print|Task 2: Mini design sprint|Task 3: Document design decisions,"design sprint, prototyping, iteration",false,false
y910-t1-w5-outline-01,Year 9/10,1,5,3D Printing and Design,Lesson Outline,Week 5 - Personal Print Project,Design and print a personal functional or decorative object with full documentation.,"personal project, design, print, documentation",html,,Drive,false,,,I can design a functional 3D printed object|I can document my design intent and constraints|I can evaluate my printed result,,personal project,false,false
y910-t1-w7-assessment-01,Year 9/10,1,7,3D Printing and Design,Assessment,Assessment 1 - 3D Printing Knowledge Test,Written knowledge test covering 3D printing workflow Tinkercad measurements tolerance and design process.,"assessment, 3D printing, Tinkercad, tolerance, workflow",html,,Drive,false,,,I can demonstrate knowledge of 3D printing concepts|I can answer questions about design and tolerance,,assessment 1 3D printing,false,false
y910-t1-w7-rubric-01,Year 9/10,1,7,3D Printing and Design,Rubric,Assessment 1 - Student Criteria Sheet,Marking criteria and grade descriptors for the 3D printing knowledge test.,"rubric, assessment, criteria",pdf,,Drive,true,,,I understand what is expected for each grade,,rubric,false,false
y910-t1-w8-outline-01,Year 9/10,1,8,3D Printing and Design,Lesson Outline,Week 8 - Design for Use Project,Design and print a solution to a real problem with full design documentation and iteration evidence.,"design for use, project, iteration, documentation",html,,Drive,false,,,I can design a solution to a real problem|I can document and justify design decisions|I can improve my design based on test results,,design project,false,false
y910-t1-w10-portfolio-01,Year 9/10,1,10,3D Printing and Design,Reference,Term 1 Portfolio - 3D Printing,Portfolio collecting design evidence iteration photos and reflections from the 3D printing unit.,"portfolio, reflection, 3D printing",html,,Drive,false,,,I can curate evidence of my design process|I can reflect on what I would do differently,,portfolio,false,false
y910-t2-w2-outline-01,Year 9/10,2,2,Python and micro:bit,Lesson Outline,Week 2 - Python and micro:bit Recap,Variables data types casting operators string methods loops and decisions with micro:bit display and buttons.,"Python, micro:bit, variables, loops, decisions, operators, casting",html,,Drive,false,,Variable: A named container that stores a value|Data type: The kind of value stored (int float str bool)|int(): Converts a value to a whole number|float(): Converts a value to a decimal number|str(): Converts a value to text|Loop: Repeating a block of code|for loop: Repeats a set number of times|while loop: Repeats while a condition is true|if/elif/else: Makes decisions based on conditions|display.show(): Shows text or image on micro:bit|button_a.is_pressed(): Checks if button A is held down,I can use variables with correct data types|I can write for and while loops|I can use if/elif/else to make decisions,Task 1: Variable types exercise|Task 2: Write a loop program|Task 3: Button-controlled micro:bit display,"Python, variables, loops, decisions, micro:bit",false,false
y910-t2-w3-outline-01,Year 9/10,2,3,Python and micro:bit,Lesson Outline,Week 3 - Sensors and Radio,micro:bit sensors accelerometer temperature light compass and radio communication between devices.,"sensors, accelerometer, temperature, light, radio, micro:bit",html,,Drive,false,,Accelerometer: Sensor measuring tilt and movement|accelerometer.get_x(): Returns left-right tilt value|Gesture: A recognised movement like shake or face up|temperature(): Returns temperature in Celsius|display.read_light_level(): Returns light level 0-255|radio.on(): Activates the radio module|radio.send(): Sends a string to nearby devices|radio.receive(): Receives a string from nearby devices|radio.config(group=X): Sets which group to communicate on,I can read values from micro:bit sensors|I can detect gestures|I can send and receive radio messages,Task 1: Sensor reading program|Task 2: Gesture detector|Task 3: Radio communication between two micro:bits,"sensors, accelerometer, radio, micro:bit",false,false
y910-t2-w3-quiz-01,Year 9/10,2,3,Python and micro:bit,Reference,Week 3 Quiz - Python and Sensors,Quiz covering Python syntax variables loops decisions and micro:bit sensors.,quiz,pdf,,Drive,true,,,,Quiz Week 3,"Python, sensors, quiz",false,false
y910-t2-w4-outline-01,Year 9/10,2,4,Bit:Bot Automation,Lesson Outline,Week 4 - Bit:Bot Introduction,Direct pin control for Classic and XL models write_analog speed control and basic movement.,"Bit:Bot, pin control, write_analog, motors, movement, Classic, XL",html,,Drive,false,,Bit:Bot: A two-wheeled robot driven by a micro:bit|Classic model: Left motor pin0/pin8 right motor pin1/pin12|XL model: Left motor pin16/pin8 right motor pin14/pin12|write_analog(speed): Sets motor speed 0=off 1023=full|write_digital(0 or 1): Turns a pin fully on or off|pin0.write_digital(0): XL startup fix to silence buzzer|Forward: Both motors running in same direction|Spin: Motors running in opposite directions,I can explain the difference between Classic and XL wiring|I can write code to move the Bit:Bot forward|I can make the Bit:Bot stop and turn,Task 1: Identify Classic vs XL pins|Task 2: Write a forward/stop program|Task 3: Make the Bit:Bot turn left and right,"Bit:Bot, pins, motors, write_analog",false,false
y910-t2-w5-assessment-01,Year 9/10,2,5,Bit:Bot Automation,Assessment,Assessment 1 - Python and micro:bit,Mixed assessment - Part A written knowledge Part B coding task in simulator.,"assessment, Python, micro:bit, coding",html,,Drive,false,,,I can answer written questions about Python|I can write a working Python program for micro:bit,,assessment 1 Python,false,false
y910-t2-w5-rubric-01,Year 9/10,2,5,Bit:Bot Automation,Rubric,Assessment 1 - Student Criteria Sheet,Marking criteria and grade descriptors for Assessment 1 written and coding sections.,"rubric, assessment, criteria",pdf,,Drive,true,,,I understand what is expected for each grade,,rubric,false,false
y910-t2-w6-outline-01,Year 9/10,2,6,Bit:Bot Automation,Lesson Outline,Week 6 - Motors and Driving,PWM duty cycle write_analog speed values and building a clean movement function library.,"PWM, duty cycle, write_analog, functions, motor control, Bit:Bot",html,,Drive,false,,PWM: Pulse Width Modulation - rapidly switching a signal on/off to control average power|Duty cycle: Percentage of time the signal is ON - 0% off 100% full power|write_analog(speed): Maps to duty cycle - 0=off 1023=full speed|Function: A reusable named block of code|def: Python keyword to define a function|Parameter: A value passed into a function|Calibration: Tuning speed values so both motors run evenly,I can explain what PWM means|I can use write_analog to control Bit:Bot speed|I can write a move_forward function with parameters,Task 1: PWM and duty cycle explanation|Task 2: Speed control with write_analog|Task 3: Build a movement function library,"PWM, duty cycle, functions, motors",true,false
y910-t2-w6-worksheet-01,Year 9/10,2,6,Bit:Bot Automation,Worksheet,Week 6 - Motor Control Worksheet,PWM and write_analog exercises - trace through code and predict motor behaviour.,"PWM, write_analog, motor, code tracing",docx,,Drive,true,,,I can trace through motor control code|I can predict Bit:Bot behaviour from code,,motor worksheet,false,false
y910-t2-w7-outline-01,Year 9/10,2,7,Functions and Line Following,Lesson Outline,Week 7 - Functions and Code Structure,Defining and calling functions parameters return values variable scope and building readable programs.,"functions, def, parameters, return, scope, local, global",html,,Drive,false,,Function: A named reusable block of code|def: Keyword to define a function in Python|Parameter: A variable that receives a value when the function is called|Return: Sends a value back from a function|Local variable: Only exists inside a function|Global variable: Exists throughout the whole program|Scope: Where in the program a variable can be accessed|Call: Running a function by using its name,I can define a function with parameters|I can use return to send back a value|I can explain the difference between local and global variables,Task 1: Write functions with parameters|Task 2: Use return values|Task 3: Refactor a program using functions,"functions, parameters, return, scope",false,false
y910-t2-w7-assessment-01,Year 9/10,2,7,Bit:Bot Automation,Assessment,Assessment 2 - Functions and Bit:Bot,Functions-based coding assessment using the Bit:Bot.,"assessment, functions, Bit:Bot, coding",html,,Drive,false,,,I can write well-structured functions|I can use functions to control the Bit:Bot,,assessment 2 functions,false,false
y910-t2-w7-rubric-01,Year 9/10,2,7,Functions and Line Following,Rubric,Assessment 2 - Student Criteria Sheet,Marking criteria and grade descriptors for Assessment 2 functions task.,"rubric, assessment 2, criteria",pdf,,Drive,true,,,I understand what is expected for each grade,,rubric,false,false
y910-t2-w8-outline-01,Year 9/10,2,8,Functions and Line Following,Lesson Outline,Week 8 - Line Following Concepts,IR sensors threshold values detecting contrast and building a line-following algorithm.,"line following, IR sensors, threshold, contrast, algorithm",html,,Drive,false,,IR sensor: Infrared sensor that detects light reflection|Threshold: A value that separates two states (on line / off line)|Contrast: Difference between black line and white surface|Algorithm: A step-by-step set of instructions|Correction: Adjusting direction when the robot drifts off line,I can explain how IR sensors detect a line|I can set a threshold value|I can write a basic line-following algorithm,Task 1: Read IR sensor values|Task 2: Set threshold and detect line|Task 3: Write line-following code,"line following, IR sensors, threshold",false,false
y910-t2-w9-outline-01,Year 9/10,2,9,Bit:Bot Automation,Lesson Outline,Week 9 - Autonomous Driving Project,Combining functions line following and motor control into a complete autonomous driving program.,"autonomous, functions, line following, project",html,,Drive,false,,,I can combine functions into a complete program|I can debug and improve my autonomous driving code,,autonomous project,false,false
y910-t2-w9-quiz-01,Year 9/10,2,9,Functions and Line Following,Reference,Week 9 Quiz - Functions and Automation,Quiz covering Python functions parameters return values and automation concepts.,quiz,pdf,,Drive,true,,,,Quiz Week 9,"functions, automation, quiz",false,false
y910-t2-w10-portfolio-01,Year 9/10,2,10,Functions and Line Following,Reference,Term 2 Portfolio - Automation,Portfolio collecting Python code evidence Bit:Bot work and reflections from the automation unit.,"portfolio, reflection, automation, Python",html,,Drive,false,,,I can curate my best code from Term 2|I can reflect on my growth as a programmer,,portfolio,false,false
